location,count
near Luena Airport (LUO),3
near Kerman,3
Yazagyo Airfield,3
near Midway Island,3
near Moskva-Khodynka ...,3
Sanikiluaq Airpo...,3
Chittagong-Paten...,3
Burlington Inter...,3
Menorca-MahÃ³n A...,3
Fairbanks-Eielso...,3
Nadzab,3
Grand Turk Islan...,3
"New Orleans, LA",3
near Iceland,3
Zerqa RAF Statio...,3
Simferopol Airpo...,3
Bukavu-Kavumu Ai...,3
"near Shannon, Ireland",3
near Cherry Point MCA...,3
MonterÃ­a-Los Ga...,3
"near Bethel, AK",3
near Bangui,3
Delft,3
near Fort Dix-McGuire...,3
near Ankara-Etimesgut...,3
"near Seattle, WA",3
near New Orleans Inte...,3
Bilbeis RAF Station,3
near Manila-Ninoy Aqu...,3
Islamabad-Chakla...,3
La Ceiba-Goloson...,3
Aweil Airport,3
near Cali,3
Inuvik-Mike Zubk...,3
"near Bethel Airport, ...",3
"Nixon Fork Mine, AK",3
near Leninakan Airpor...,3
near Taiwan,3
"near Palm Springs, CA",3
Leskovac,3
Harrisburg-Olmst...,3
near Cuenca,3
near Frankfurt Intern...,3
Marietta-Dobbins...,3
near Dayton-Wright Pa...,3
Nanking Airport ...,3
Belleville-Scott...,3
near Ulyanovsk/Barata...,3
Netheravon Airport,3
near New York-La Guar...,3
near Mulia,3
Maracaibo-Grano ...,3
Toulouse,3
Mirny Ice Station,3
Istres,3
Abadan Airport (...,3
Marseille-Proven...,3
near Silchar,3
Bucharest-Baneas...,3
Ahwaz Airport (AWZ),3
Seoul-Incheon In...,3
Anadyr Airport (...,3
near Kunming-Wujiaba ...,3
Kiev-Borispol Ai...,3
Port Moresby-War...,3
near Zamboanga,3
near Tezpur Airport (...,3
near Pingtung,3
Western Sahara,3
near Cheyenne Airport...,3
Kompong Som Airp...,3
Binh Thuy Air Ba...,3
"Reno, NV",3
Houston-George B...,3
Bloemspruit Air ...,3
Aden-Khormaksar ...,3
near Kuala Lumpur Sub...,3
Imphal Airport (...,3
Beijing-Capital ...,3
"Danbury Airport,...",3
Napoli-Capodichi...,3
Hollandia Airfield,3
near Mobile-Brookley ...,3
Morristown Munic...,3
Lima-Jorge ChÃ¡v...,3
near Cincinnati/North...,3
Oborso,3
near Amderma Airport ...,3
"Homer Airport, A...",3
near Jeddah,3
Lukla-Tenzing-Hi...,3
Juneau Internati...,3
Kolwezi Airport ...,3
Irian Jaya,3
Frankfurt Rhein-...,3
near Roma-Ciampino Ai...,3
near Mendoza-El Plume...,3
near St. Moritz-Samed...,3
near Aden Internation...,3
Panama City Albr...,3
near Oslo-Fornebu Air...,3
Bedford-Hanscom ...,3
Hukawng Valley,3
near Palermo-Punta Ra...,3
Tacloban,3
Springfield-West...,3
Lugansk Airport ...,3
near Chongqing,3
Chittagong-Shah ...,3
"Eugene Airport, ...",3
near KÃ¸benhavn-Kastr...,3
near Kazan Airport,3
Rogachevo Air Base,3
"Dover AFB, DE (DOV)",3
